docks,id,lat,lon,name
19,BikePoints_1,51.529163,-0.10997,"River Street, Clerkenwell"
37,BikePoints_2,51.499606,-0.197574,"Phillimore Gardens, Kensington"
32,BikePoints_3,51.521283,-0.084605,"Christopher Street, Liverpool Street"
23,BikePoints_4,51.530059,-0.120973,"St. Chad's Street, King's Cross"
27,BikePoints_5,51.49313,-0.156876,"Sedding Street, Sloane Square"
18,BikePoints_6,51.518117,-0.144228,"Broadcasting House, Marylebone"
16,BikePoints_7,51.5343,-0.168074,"Charlbert Street, St. John's Wood"
18,BikePoints_8,51.528341,-0.170134,"Lodge Road, St. John's Wood"
19,BikePoints_9,51.507385,-0.09644,"New Globe Walk, Bankside"
18,BikePoints_10,51.505974,-0.092754,"Park Street, Bankside"
24,BikePoints_11,51.523951,-0.122502,"Brunswick Square, Bloomsbury"
49,BikePoints_12,51.52168,-0.130431,"Malet Street, Bloomsbury"
21,BikePoints_13,51.519914,-0.136039,"Scala Street, Fitzrovia"
48,BikePoints_14,51.529943,-0.123616,"Belgrove Street, King's Cross"
26,BikePoints_15,51.517727,-0.127854,"Great Russell Street, Bloomsbury"
22,BikePoints_16,51.526357,-0.125979,"Cartwright Gardens, Bloomsbury"
26,BikePoints_17,51.521661,-0.109006,"Hatton Wall, Holborn"
27,BikePoints_18,51.51477,-0.122219,"Drury Lane, Covent Garden"
30,BikePoints_19,51.52505,-0.131161,"Taviton Street, Bloomsbury"
28,BikePoints_20,51.527736,-0.135273,"Drummond Street, Euston"
16,BikePoints_21,51.530078,-0.138846,"Hampstead Road (Cartmel), Euston"
19,BikePoints_22,51.522264,-0.114079,"Northington Street, Holborn"
16,BikePoints_23,51.519435,-0.119123,"Red Lion Square, Holborn"
35,BikePoints_24,51.51908,-0.124678,"British Museum, Bloomsbury"
31,BikePoints_25,51.528833,-0.13225,"Doric Way, Somers Town"
21,BikePoints_26,51.52728,-0.118295,"Ampton Street, Clerkenwell"
33,BikePoints_27,51.513821,-0.107927,"Bouverie Street, Temple"
19,BikePoints_28,51.523518,-0.143613,"Bolsover Street, Fitzrovia"
22,BikePoints_29,51.513735,-0.193487,"Hereford Road, Bayswater"
24,BikePoints_30,51.529154,-0.093421,"Windsor Terrace, Hoxton"
36,BikePoints_31,51.529537,-0.083353,"Fanshaw Street, Hoxton"
43,BikePoints_32,51.524696,-0.084439,"Leonard Circus, Shoreditch"
18,BikePoints_33,51.5156,-0.070056,"Central House, Aldgate"
16,BikePoints_34,51.534123,-0.129386,"Pancras Road, King's Cross"
28,BikePoints_36,51.501737,-0.18498,"De Vere Gardens, Kensington"
17,BikePoints_37,51.491593,-0.192369,"Penywern Road, Earl's Court"
17,BikePoints_38,51.497387,-0.197245,"Abingdon Villas, Kensington"
41,BikePoints_39,51.526377,-0.07813,"Shoreditch High Street, Shoreditch"
16,BikePoints_40,51.52127,-0.075578,"Commercial Street, Shoreditch"
25,BikePoints_41,51.520017,-0.083911,"Sun Street, Liverpool Street"
28,BikePoints_42,51.530991,-0.093903,"Wenlock Road, Hoxton"
18,BikePoints_43,51.52026,-0.157183,"Crawford Street, Marylebone"
21,BikePoints_44,51.510736,-0.144165,"Bruton Street, Mayfair"
26,BikePoints_45,51.522511,-0.162298,"Boston Place, Marylebone"
16,BikePoints_46,51.507131,-0.06691,"Nesham Street, Wapping"
